material-L1,material-L2,phase,stream,idealStream,stratum,kgPerHhPerWk
Metal - ferrous and non-ferrous,Aluminium packaging,1,grey bin,recycling site,urban ££,0.04864864864864865
Metal - ferrous and non-ferrous,Aluminium packaging,1,grey bin,recycling site,urban £££,0.05957446808510638
Metal - ferrous and non-ferrous,Aluminium packaging,1,grey bin,recycling site,rural £/££,0.03461538461538462
Metal - ferrous and non-ferrous,Aluminium packaging,1,grey bin,recycling site,rural £££,0.08235294117647059
Metal - ferrous and non-ferrous,Aluminium packaging,1,recycling bin,recycling site,urban £,0.004
Metal - ferrous and non-ferrous,Aluminium packaging,1,recycling bin,recycling site,urban ££,0.002702702702702703
Metal - ferrous and non-ferrous,Aluminium packaging,1,recycling bin,recycling site,urban £££,0.00425531914893617
Metal - ferrous and non-ferrous,Aluminium packaging,1,recycling bin,recycling site,rural £/££,0.0038461538461538464
Metal - ferrous and non-ferrous,Aluminium packaging,1,recycling bin,recycling site,rural £££,0.0
Metal - ferrous and non-ferrous,Aluminium packaging,2,grey bin,recycling site,urban £,0.061224489795918366
Metal - ferrous and non-ferrous,Aluminium packaging,2,grey bin,recycling site,urban ££,0.06315789473684211
Metal - ferrous and non-ferrous,Aluminium packaging,2,grey bin,recycling site,urban £££,0.044000000000000004
